Name,District,Town,Address,latitude,longitude,Date,Cancelled,Registered,Store
Choppies Block 8 Mall Gaborone,South-East,Gaborone,"Plot 34114, Block 8 Mall",-24.5977431,25.90569146,08/08/2011,,Y,choppies
"Choppies Block 8, Lemon Mall, Gaborone",South-East,Gaborone,"Plot 3616/169, Block 8, Lemon Mall",-24.60945515,25.91779021,20/06/2018,,Y,choppies
Choppies Broadhurst,South-East,Gaborone,"Extension 16,Plot 8778 unit 1,Broadhurst,Gaborone",-24.63062804,25.91551503,15/04/2010,,Y,choppies
"Choppies Distribution Centre, Gaborone",South-East,Gaborone,"Plot 169,Gaborone International Commerce Park,Gaborone",,,,,Y,choppies
"Choppies Distribution Centre, Lobatse",south-East,Lobatse,"Thema 1 ,Lobatse",,,,,Y,choppies
Choppies Fairgrounds Gaborone,South-East,Gaborone,"Fairgrounds Mall,Unit G24,Gaborone",-24.68266398,25.91077856,21/12/2010,,Y,choppies
Choppies Gaborone West,South-East,Gaborone,"Gwest Mall,Plot no.17868,Phase 1 Gwest,Gaborone",-24.65914886,25.88724165,18/12/2003,,Y,choppies
Choppies Hyper Game City,South-East,Gaborone,"Game City Mall,Shop no. 7,Gaborone",-24.68692333,25.87866413,27/08/2012,,Y,choppies
"Choppies Hyper, Westgate",South-East,Gaborone,"Plot No.:54690,Western By-pass, Gaborone",-24.63729323,25.89355538,16/12/2010,,Y,choppies
Choppies Ledumang Gaborone,South-East,Gaborone,"Plot 70661, Ledumang, Broadhurst, Gaborone",,,12/09/2012,,Y,choppies
Choppies Maruapula Gaborone,South-East,Gaborone,"Lot 13102-5, Maruapula,No Mathata Mall",-24.64387684,25.93110843,03/08/2005,,Y,choppies
Choppies Super Store - Village,South-East,Gaborone,"Plot 16848, Jawara Road, Village, Gaborone",-24.66693671,25.94040557,14/07/2003,,Y,choppies
Choppies Northgate Mall Gaborone,South-East,Gaborone,"Northgate Mall,Shop no. 15,Gaborone",-24.60745317,25.93315276,11/09/2014,,Y,choppies
Choppies Nyerere Dr Gaborone,South-East,Gaborone,"Partial,Along Nyerere Drive, Gaborone",-24.64275136,25.92029106,03/08/2005,,Y,choppies
Choppies Old Lobatse Rd Gaborone,South-East,Gaborone,"Kudumatse,Gaborone,Botswana",,,,,Y,choppies
Choppies Rail Park Mall Gaborone,South-East,Gaborone,Rail Park Mall Gaborone,-24.66156198,25.9034057,05/08/2011,,Y,choppies
Choppiess Bonnington Gabs,South-East,Gaborone,"Bonnington Mall,Plot no. 8941/3,Bonnington,Gaborone",,,12/09/2012,,Y,choppies
Choppies Station Gaborone,South-East,Gaborone,"Mmaraka House,Plot no. 5,Station,Gaborone",-24.66292551,25.9065028,02/05/2007,,Y,choppies
Choppies Bulk & Save,South-East,Gaborone,"Plot 169, International Commerce Park, Gaborone",,,01/08/2018,,Y,choppies
Choppies Phakalane,South-East,Phakalane,"Mowana Mall,Phakalane",-24.56953261,25.97427107,14/02/2005,,Y,choppies
Choppies Tlokweng,South-East,Tlokweng,"Along Zeerust road,next to Engen,Tlokweng",-24.67566001,25.96650475,03/08/2005,,Y,choppies
Choppies Tlokweng Boarder Gate,South-East,Tlokweng,"Plot 6778, Anchor Shop Ground Floor, Border Gate Mall, Tlokweng",-24.66377619,25.98225358,25/07/2005,,Y,choppies
Choppies Lobatse Barclays Mall,South-East,Lobatse,"Choppies Lobatse,Shop no.46/49,Barclays Mall,Lobatse",-25.21573356,25.67319531,02/11/1999,,Y,choppies
Choppies Lobatse Madiba Mall,South-East,Lobatse,"Madiba Mall,Plot 4660/ 4842,Bus Rank,Lobatse",-25.22943875,25.67264973,21/12/2010,,Y,choppies
Choppies Super Store - Lobatse,South-East,Lobatse,"Plot 304, Lobatse Town Centre, Lobatse",-25.22694697,25.6698589,18-Dec-03,,Y,choppies
Choppies Hillside Mall,South-East,Lobatse,"Plot 4650, Hill Side Mall, Lobatse",-25.20660547,25.68024363,30/07/2018,,Y,choppies
Choppies Ramotswa,South-East,Ramotswa,"Lesetlhana ward,Ramotswa",,,,,,choppies
Choppies Ramotswa,South-East,Ramotswa,"Plot 3263, Unit A, Ramotswa",-24.86171275,25.85497022,25/07/2005,,Y,choppies
Choppies Value Store - Glen Valley,South-East,Glen Valley,"Glen Valley Barracks, Gaborone",-24.60625814,25.9581881,20/06/2018,,Y,choppies
Choppies Jwaneng,Southern,Jwaneng,"Choppies Jwaneng,Choppies Mall,Unit 4 ,Plot 5477,Jwaneng",-24.59871758,24.72852366,19/12/2003,,Y,choppies
Choppies Kanye I,Southern,Kanye,"Choppies Kanye,BG Mall,shop no. 1,Plot no. 981,Sebego Ward,Kanye",-24.99009685,25.34273906,18/12/2003,,Y,choppies
Choppies Kanye II,Southern,Kanye,"Choppies Kanye,Mongala Mall,shop no. 2,Plot no. 746,Ruele Ward,Kanye",-24.98137163,25.34101498,08/12/2006,,Y,choppies
Choppies Moshupa,Southern,Moshupa,"Kgosing Ward, Moshupa",-24.8018627,25.42888916,30/06/2004,,Y,choppies
Choppies Super Store Moshupa II,Southern,Moshupa,"Plot 2086, Shop No.3, Jerusalema Ward, Moshupa",-24.78274182,25.41903187,27/01/2016,,Y,choppies
Choppies Pitshane,Southern,Pitsane,"Plot 1760, Pitsane West,Mabete Ward,Pitsane",-25.46960219,25.60361124,16/04/2010,,Y,choppies
Choppies SuperStore - Good Hope,Southern,Goodhope,"Tribal Lot 2739, Good Hope",-25.46915479,25.4446435,27/04/2017,,Y,choppies
Choppies Value Store - Molapowabojang,Southern,Molapowabojang,"Plot 171, Letshabo Ward,Molapowabojang",-25.20366351,25.55766673,18/12/2003,,Y,choppies
Choppies Super Store Zeerust Road Lobatse,South-East,Lobatse,"Plot 434, Zeerust Road, Lobatse",,,12/09/2012,,Y,choppies
Choppies Value Store - Woodhall,South-East,Lobatse,"Plot 1109, Woodhall, Lobatse",,,02/11/1999,,,choppies
Choppies Super Stores - Somerset,North-East,Francistown,"Plot No. 5057, Loja Mall, Somerset East Industrial, Francistown",,,23/12/2010,,Y,choppies
Choppies Superstore-Tati Town,North-East,Francistown,"Plot 32855, Shop 4 And 5, White City, Tati Town, Francistown",,,09/10/2014,,Y,choppies
Choppies Superstore - Chelford Mall Ghanzi,Ghanzi,Ghanzi,"Lot 1299, Chelford Mall, Ghanzi",-21.69926448,21.63683867,29/10/2013,,Y,choppies
Choppies Superstore-Borogo Junction,Chobe,Kasane,"Plot 1301, Kazungula, Kasane",-17.80547899,25.24101369,04/11/2014,,Y,choppies
Choppies Super Store Maun 3 - Boseja 5,North-West,Maun,"Plot 1224, Boseja Ward",-20.00835233,23.43385704,20/06/2018,,Y,choppies
Choppies Superstore Molapowabojang,Southern,Molapowabojang,"Plot 171, Letshabo Ward,Molapowabojang",,,20/06/2018,,Y,choppies
Choppies Super Store Development Trust,Central,Palapye,"Plot 7385, Palapye",,,31/10/2013,,Y,choppies
Choppies Superstore Tlokweng -3 (Royal Aria),South-East,Tlokweng,"Lot No: 10009, Ranforwa Ward, Tlokweng",,,23/03/2020,,Y,choppies
Choppies Hyper Store-Game City,South-East,Gaborone,"Plot 169, Gaborone International Commerce Park,",,,01/02/2021,,Y,choppies
Choppies Malaika,South-East,Gaborone,"Plot 46, East Ave, Gaborone International Commerce Park",,,08/03/2017,,Y,choppies
Choppies Megasave,South-East,Gaborone,"Plot 169, International Commerce Park",,,02/08/2018,,Y,choppies
Choppies Block 7,South-East,Gaborone,"Plot 169, Gaborone International Commerce Park",,,08/04/2010,,Y,choppies
Choppies Super Store Hillside,South-East,Gaborone,"Plot 4650, Hill Side Mall, Gaborone",,,17/02/2010,,Y,choppies
Choppies Super Store-G.I.C.P,South-East,Gaborone,"Plot 169, Gaborone International Commerce Park",,,22/06/2012,,Y,choppies
Choppies Superstore Bifm Mall,South-East,Gaborone,"Plot 5621, Unit 1 Broadhurst, Gaborone",,,31/10/2013,,Y,choppies
Choppies Superstore Bus Stop,South-East,Gaborone,"Plot 8911/13964, Bus Rank, Gaborone",-24.65938938,25.90125799,31/10/2013,,Y,choppies
Choppies Ramotswa Shopping Centre,South-East,Ramotswa,"Shop No 7, Ramotswa Shopping Centre",-24.86356698,25.8625416,20/11/2013,,Y,choppies
Choppies Super Store - Bobididi Ward Mogoditshane,Kweneng,Mogoditshane,"Plot 11936, Bobididi Ward, Mogoditshane",,,21/10/2015,,Y,choppies
Choppies Super Store Mogoditshane Centre Mall,Kweneng,Mogoditshane,"Plot 6670, Shop No. 3, Mogoditshane Shopping Complex, Mogoditshane",-24.61811704,25.86439658,31/10/2013,,Y,choppies
Choppies Superstore Mogoditshane,Kweneng,Mogoditshane,"Plot 7743/4, Mogo Mall, Mogoditshane",-24.62168816,25.86635315,17/01/2006,,Y,choppies
Mogoditshane Choppies Multisave Store,Kweneng,Mogoditshane,"Tribal Lot 5483 & 5484, Mogoditshane",,,25/07/2005,,Y,choppies
Choppies Tsabong,Kgalagadi,Tsabong,"Lot 301, Unit 6, Tsabong,",-26.02201344,22.39953843,22/06/2012,,Y,choppies
Choppies Superstore - Kang,Kgalagadi,Kang,"Plot 3847, Monyamane Ward, Kang",,,20/10/2017,,Y,choppies
Choppies Superstore - Nata,Central,Nata,"Plot 1571, Ko Gae Mall, Nata",-20.21659892,26.19364148,15/08/2016,,Y,choppies
Choppies Superstore Gumare,North-West,Gumare,"Bothatogo Ward, Gumare,",-19.36293113,22.16414076,28/10/2021,,Y,choppies
